AE ID	Eval	Old Pred	New Pred	Confidence	Abs value	Exp typeExp factors
E-GEOD-77847	none	none	no	-0.062	0.062	none	sample type	
E-GEOD-61938	none	none	no	-0.112	0.112	none	None	
E-GEOD-6681	none	none	no	-0.013	0.013	none	None	
E-GEOD-52125	none	none	no	-0.007	0.007	none	cell type	
E-GEOD-55233	none	none	no	-0.047	0.047	none	TREATMENT	
E-GEOD-77594	none	none	no	-0.095	0.095	none	construct	
E-GEOD-12766	none	none	no	-0.031	0.031	none	GENOTYPE	
E-MEXP-3374	none	none	no	-0.027	0.027	none	CELL_TYPE	
E-GEOD-39129	none	none	no	-0.028	0.028	none	TREATMENT	
E-GEOD-69611	none	none	no	-0.018	0.018	none	treatment	
E-GEOD-29093	none	none	no	-0.043	0.043	none	CELL TYPE	
E-GEOD-62641	none	none	no	-0.063	0.063	none	strain/genotype | treatment	
E-GEOD-29094	none	none	no	-0.063	0.063	none	None	
E-GEOD-1382	none	none	no	-0.040	0.040	none	Compound	
E-GEOD-4356	none	none	no	-0.066	0.066	none	cohort | dose | time | sampling time point | compound	
E-GEOD-1381	none	none	no	-0.023	0.023	none	Time | Genotype | Compound	
E-GEOD-31321	none	none	no	-0.026	0.026	none	None	
E-MEXP-3216	none	none	no	-0.065	0.065	none	DOSE | GENOTYPE | COMPOUND	
E-GEOD-47442	none	none	no	-0.061	0.061	none	INFECTION	
E-GEOD-60226	none	none	yes	0.014	0.014	none	genotype | time	
E-MEXP-3213	none	none	no	-0.038	0.038	none	Genotype	
E-GEOD-50748	none	none	yes	0.005	0.005	none	GENOTYPE | SEX	
E-MEXP-3211	none	none	no	-0.045	0.045	none	Genotype	
E-GEOD-79039	none	none	no	-0.100	0.100	none	facs-sort | cell type | genotype	
E-GEOD-80825	none	none	no	-0.013	0.013	none	genotype	
E-GEOD-50742	none	none	no	-0.057	0.057	none	TRANSGENE | TIME	
E-GEOD-53299	none	none	no	-0.027	0.027	none	CELL TYPE	
E-GEOD-6085	none	none	no	-0.096	0.096	none	dose | time | compound	
E-GEOD-27353	none	none	no	-0.058	0.058	none	None	
E-GEOD-53294	none	none	no	-0.008	0.008	none	TIME AFTER INFECTION | ORGANISM PART	
E-GEOD-6496	none	none	no	-0.029	0.029	none	None	
E-GEOD-29891	none	none	no	-0.018	0.018	none	MOUSE GENOTYPE | BIOREPLICATE ID | STIMULATION CONDITION | TIME POST-STIMULATION | STRAIN | BIOREPLICATE COMPARISON GROUPS (WHICH MUTANT REPLICATE GOES WITH WHICH WT REPLICATE)	
E-GEOD-22844	none	none	no	-0.047	0.047	none	None	
E-GEOD-29897	none	none	no	-0.041	0.041	none	KNOCKDOWN | CELL TYPE | SAMPLE TYPE	
E-GEOD-29898	none	none	no	-0.005	0.005	none	CELL TYPE	
E-GEOD-51832	none	none	no	-0.030	0.030	none	CELL TYPE	
E-GEOD-48929	none	none	no	-0.037	0.037	none	GENETIC BACKGROUND | ORGANISM PART | GENOTYPE	
E-GEOD-54715	none	none	no	-0.054	0.054	none	TRANSFECTED WITH	
E-GEOD-54242	none	none	no	-0.070	0.070	none	age | differentiation medium	
E-GEOD-54716	none	none	no	-0.076	0.076	none	MOLECULE SUBTYPE | TREATED WITH	
E-GEOD-54718	none	none	no	-0.065	0.065	none	treated with	
E-GEOD-20575	none	none	no	-0.063	0.063	none	CELL TYPE | ORGANISM PART | DEVELOPMENTAL STAGE	
E-GEOD-20572	none	none	no	-0.068	0.068	none	ORIGIN | CELL TYPE	
E-MEXP-186	none	none	no	-0.027	0.027	none	None	
E-GEOD-44923	none	none	no	-0.084	0.084	none	AGE | CELL TYPE	
E-GEOD-50400	none	none	no	-0.087	0.087	none	TREATMENT | CONDITION	
E-GEOD-50403	none	none	no	-0.095	0.095	none	TREATMENT | INFECTION	
E-GEOD-44920	none	none	no	-0.048	0.048	none	TRANSDUCTION CONDITION	
E-GEOD-36497	none	none	no	-0.029	0.029	none	LGR5 EXPRESSION LEVEL	
E-GEOD-36492	none	none	no	-0.047	0.047	none	DIET	
E-MEXP-3402	none	none	no	-0.042	0.042	none	CELL_LINE | DOSE | TIME | GENOTYPE | COMPOUND	
E-GEOD-58170	none	none	no	-0.001	0.001	none	population	
E-GEOD-30638	none	none	no	-0.062	0.062	none	None	
E-GEOD-30637	none	none	no	-0.028	0.028	none	None	
E-MTAB-3596	none	none	no	-0.007	0.007	none	genotype | time	
E-MEXP-983	none	none	no	-0.016	0.016	none	genotype	
E-GEOD-7302	none	none	no	-0.038	0.038	none	None	
E-MTAB-1644	none	none	no	-0.065	0.065	none	cell type	
E-GEOD-46976	none	none	no	-0.048	0.048	none	GENOTYPE	
E-GEOD-41257	none	none	no	-0.070	0.070	none	CELL TYPE	
E-GEOD-36679	none	none	no	-0.032	0.032	none	CELL TYPE | GENOTYPE | DEVELOPMENTAL STAGE	
E-MEXP-3231	none	none	no	-0.071	0.071	none	GENOTYPE	
E-GEOD-65863	none	none	no	-0.042	0.042	none	induced genotype | treated with	
E-GEOD-26012	none	none	no	-0.068	0.068	none	GENOTYPE	
E-GEOD-65864	none	none	no	-0.020	0.020	none	genotype	
E-GEOD-85955	none	none	no	-0.023	0.023	none	condition	
E-GEOD-18853	none	none	no	-0.048	0.048	none	GENOTYPE	
E-GEOD-55595	none	none	no	-0.034	0.034	none	genotype	
E-GEOD-23009	none	none	yes	0.029	0.029	none	GROUP	
E-GEOD-18858	none	none	no	-0.092	0.092	none	dose | treatment | compound	
E-GEOD-23002	none	none	no	-0.044	0.044	none	TREATMENT | HOST GENOTYPE	
E-GEOD-65660	none	none	no	-0.047	0.047	none	cell type separated by facs | genotype	
E-GEOD-64735	none	none	no	-0.049	0.049	none	treatment	
E-GEOD-57572	none	none	no	-0.037	0.037	none	None	
E-GEOD-84534	none	none	no	-0.005	0.005	none	organism part	
E-GEOD-57575	none	none	no	-0.012	0.012	none	construct	
E-GEOD-42698	none	none	no	-0.012	0.012	none	INFO | TYPE | GENOTYPE	
E-GEOD-42691	none	none	no	-0.021	0.021	none	None	
E-GEOD-18148	none	none	no	-0.029	0.029	none	None	
E-GEOD-55629	none	none	no	-0.043	0.043	none	GENOTYPE	
E-GEOD-12162	none	none	no	-0.048	0.048	none	None	
E-GEOD-55620	none	none	no	-0.019	0.019	none	GENOTYPE | CELL POPULATION	
E-MTAB-2517	none	none	no	-0.070	0.070	none	growth condition | compound	
E-GEOD-575	none	none	no	-0.069	0.069	none	Compound	
E-MEXP-1184	none	none	no	-0.048	0.048	none	compound	
E-GEOD-70028	none	none	no	-0.039	0.039	none	transduced with	
E-GEOD-45401	none	none	no	-0.049	0.049	none	ISOLATED RNA | CELL TYPE | CONDITION	
E-GEOD-27491	none	none	no	-0.086	0.086	none	STRAIN | ORGANISM	
E-GEOD-70022	none	none	no	-0.018	0.018	none	day of dox treatment	
E-GEOD-79508	none	none	no	-0.034	0.034	none	genotype	
E-GEOD-21543	none	none	no	-0.006	0.006	none	disease	
E-MEXP-1237	none	none	no	-0.136	0.136	none	growth condition | genotype	
E-GEOD-21896	none	none	no	-0.014	0.014	none	GENETIC BACKGROUND	
E-GEOD-21895	none	none	no	-0.091	0.091	none	EXPERIMENT | TREATMENT	
E-GEOD-27410	none	none	no	-0.042	0.042	none	CELL LINE | TREATMENT	
E-GEOD-27721	none	none	no	-0.082	0.082	none	MODEL | GENOTYPE/VARIATION | REFERENCE	
E-GEOD-25498	none	none	no	-0.112	0.112	none	TRANSFECTION	
E-GEOD-3534	none	none	no	-0.025	0.025	none	None	
E-GEOD-66538	none	none	no	-0.030	0.030	none	None	
E-GEOD-37078	none	none	yes	0.004	0.004	none	TREATMENT	
E-GEOD-32000	none	none	no	-0.071	0.071	none	None	
E-GEOD-32007	none	none	no	-0.060	0.060	none	ORGANISM PART | BEADCHIP SECTION | BRAIN SECTION | TREATMENT | BEADCHIP BARCODE | BERGHEI ANKA-INFECTED | MOUSE	
E-GEOD-2935	none	none	no	-0.050	0.050	none	DiseaseState	
E-GEOD-33200	none	none	no	-0.016	0.016	none	TISSUE TYPE	
E-GEOD-34253	none	none	no	-0.083	0.083	none	TREATMENT	
E-GEOD-33753	none	none	no	-0.034	0.034	none	GENOTYPE | TREATMENT	
E-GEOD-33208	none	none	no	-0.001	0.001	none	SEX	
E-GEOD-6219	none	none	no	-0.029	0.029	none	Time | Compound	
E-GEOD-21761	none	none	no	-0.024	0.024	none	TRANSFECTION | TREATMENT PROTOCOL | TIME (DOXORUBICIN) | AGENT | TIME	
E-GEOD-21764	none	none	no	-0.079	0.079	none	TREATMENT GROUP	
E-GEOD-21768	none	none	no	-0.026	0.026	none	GENOTYPE/VARIATION	
E-GEOD-21098	none	none	no	-0.064	0.064	none	GROWTH PROTOCOL | CELL TYPE	
E-GEOD-56025	none	none	no	-0.066	0.066	none	DIET	
E-GEOD-19814	none	none	no	-0.098	0.098	none	INDIVIDUAL IDENTIFIER | CELL TYPE | BIOSOURCEPROVIDER	
E-GEOD-53506	none	none	no	-0.047	0.047	none	cell line | cell type | background	
E-GEOD-54877	none	none	no	-0.087	0.087	none	immunophenotype | treatment | days in vitro	
E-MTAB-3648	none	none	no	-0.044	0.044	none	cell type	
E-GEOD-75176	none	none	no	-0.003	0.003	none	genotype | treatment	
E-GEOD-57997	none	none	no	-0.037	0.037	none	DEVELOPMENTAL STAGE	
E-GEOD-71889	none	none	no	-0.036	0.036	none	timepoints hours	
E-GEOD-71882	none	none	no	-0.038	0.038	none	genotype	
E-GEOD-41418	none	none	no	-0.022	0.022	none	disease	
E-GEOD-41419	none	none	no	-0.067	0.067	none	COMPOUND	
E-GEOD-33953	none	none	no	-0.032	0.032	none	age	
E-GEOD-15925	none	none	no	-0.013	0.013	none	TISSUE	
E-GEOD-68797	none	none	no	-0.006	0.006	none	Stage	
E-GEOD-13782	none	none	yes	0.031	0.031	none	None	
E-GEOD-73823	none	none	no	-0.024	0.024	none	transgene 2 | unnatural amino acid | transgene 1	
E-GEOD-76853	none	none	no	-0.036	0.036	none	shRNA | differentiation state | time	
E-GEOD-29150	none	none	no	-0.023	0.023	none	TRANSDUCTION	
E-GEOD-38870	none	none	no	-0.051	0.051	none	TISSUE CONDITION | GENOTYPE | STRAIN OR LINE	
E-GEOD-51620	none	none	no	-0.068	0.068	none	treatment	
E-GEOD-73567	none	none	no	-0.077	0.077	none	treatment	
E-GEOD-2955	none	none	no	-0.072	0.072	none	None	
E-GEOD-2774	none	none	no	-0.017	0.017	none	None	
E-GEOD-46191	none	none	no	-0.054	0.054	none	SORTED FOR | TREATMENT	
E-GEOD-35695	none	none	no	-0.050	0.050	none	RETROVIRUS	
E-GEOD-30406	none	none	no	-0.024	0.024	none	TREATMENT	
E-GEOD-35125	none	none	no	-0.044	0.044	none	CULTIVATION | ENRICHMENT	
E-GEOD-78825	none	none	no	-0.078	0.078	none	treatment	
E-GEOD-32294	none	none	no	-0.014	0.014	none	SAMPLE TYPE | VARIATION	
E-GEOD-38420	none	none	no	-0.015	0.015	none	GENOTYPE	
E-GEOD-68884	none	none	no	-0.011	0.011	none	None	
E-GEOD-60503	none	none	no	-0.013	0.013	none	cell subtype	
E-GEOD-66954	none	none	no	-0.025	0.025	none	cell type	
E-GEOD-37006	none	none	no	-0.043	0.043	none	STRAIN OR LINE | GENOTYPE | DIET	
E-GEOD-66953	none	none	no	-0.036	0.036	none	treatment | library type	
E-GEOD-1791	none	none	no	-0.046	0.046	none	Time | Compound	
E-GEOD-24066	none	none	no	-0.008	0.008	none	TIME	
E-GEOD-63857	none	none	no	-0.016	0.016	none	genotype	
E-GEOD-24061	none	none	no	-0.061	0.061	none	ANIMAL_ID | HYBDATE | DOSE | CLASS_LT_NLT | COMPOUND	
E-GEOD-48590	none	none	no	-0.018	0.018	none	GENOTYPE	
E-GEOD-53401	none	none	no	-0.060	0.060	none	KIT USED | GENOTYPE | CELL PHENOTYPE	
E-GEOD-61632	none	none	no	-0.036	0.036	none	organism part	
E-GEOD-61636	none	none	no	-0.085	0.085	none	growth condition | cell type | phenotype	
E-GEOD-61637	none	none	no	-0.033	0.033	none	None	
E-GEOD-42506	none	none	no	-0.062	0.062	none	GENOTYPE | COMPOUND	
E-GEOD-53524	none	none	no	-0.019	0.019	none	CELL TYPE | GENOTYPE	
E-GEOD-42503	none	none	no	-0.030	0.030	none	time	
E-GEOD-42500	none	none	no	-0.045	0.045	none	SAMPLE TYPE | VARIATION	
E-GEOD-22471	none	none	no	-0.054	0.054	none	GENOTYPE	
E-GEOD-43112	none	none	no	-0.037	0.037	none	TRANSFECTION	
E-GEOD-43110	none	none	yes	0.003	0.003	none	GENOTYPE	
E-GEOD-18483	none	none	no	-0.062	0.062	none	CELL TYPE	
E-MTAB-5089	none	none	no	-0.002	0.002	none	fraction	
E-GEOD-57740	none	none	no	-0.001	0.001	none	TRANSFECTED WITH	
E-MTAB-5082	none	none	no	-0.006	0.006	none	individual | phenotype	
E-GEOD-70841	none	none	no	-0.015	0.015	none	treatment	
E-GEOD-47964	none	none	no	-0.037	0.037	none	TREATMENT | DAY | CELL GROUP	
E-GEOD-36808	none	none	no	-0.009	0.009	none	VARIATION	
E-GEOD-36806	none	none	no	-0.002	0.002	none	genotype | compound	
E-MEXP-2978	none	none	no	-0.051	0.051	none	CELL_LINE | IRRADIATE | DOSE	
E-MTAB-5886	none	none	no	-0.031	0.031	none	genotype	
E-MTAB-5553	none	none	no	-0.064	0.064	none	individual	
E-GEOD-31464	none	none	no	-0.038	0.038	none	GENOTYPE/VARIATION	
E-GEOD-31465	none	none	no	-0.115	0.115	none	GENOTYPE	
E-GEOD-7798	none	none	no	-0.008	0.008	none	None	
E-GEOD-39922	none	none	no	-0.023	0.023	none	TRANSFECTED WITH	
E-GEOD-39692	none	none	yes	0.011	0.011	none	VARIATION	
E-GEOD-14644	none	none	no	-0.067	0.067	none	IL4 STIMULATION | STRAIN	
E-MEXP-6	none	none	no	-0.066	0.066	none	None	
E-GEOD-29715	none	none	no	-0.060	0.060	none	HORMONE TREATMENT	
E-GEOD-29710	none	none	no	-0.052	0.052	none	GENOTYPE	
E-GEOD-22033	none	none	no	-0.022	0.022	none	None	
E-GEOD-27001	none	none	no	-0.042	0.042	none	None	
E-GEOD-22520	none	none	no	-0.008	0.008	none	GENOTYPE | ANIMAL ID | SITE | RB1 | DXAGE | DIAGNOSIS | MORPHOLOGY	
E-GEOD-62817	none	none	no	-0.037	0.037	none	treatment | organism part	
E-GEOD-54050	none	none	no	-0.026	0.026	none	GENOTYPE	
E-GEOD-44260	none	none	no	-0.027	0.027	none	None	
E-GEOD-44261	none	none	no	-0.025	0.025	none	GENOTYPE	
E-GEOD-15315	none	none	yes	0.031	0.031	none	GENOTYPE	
E-GEOD-64040	none	none	no	-0.021	0.021	none	antibody | genotype	
E-GEOD-2644	none	none	no	-0.065	0.065	none	Compound	
E-GEOD-53212	none	none	no	-0.067	0.067	none	STRAIN | CLONE | PASSAGE | CELL TYPE | GENOTYPE	
E-GEOD-58237	none	none	no	-0.076	0.076	none	genotype | cell population	
E-GEOD-56903	none	none	no	-0.038	0.038	none	TIME POST-CTX	
E-GEOD-56904	none	none	no	-0.040	0.040	none	CELL TYPE	
E-MTAB-3070	none	none	yes	0.010	0.010	none	genotype	
E-MTAB-3071	none	none	no	-0.041	0.041	none	time | compound	
E-GEOD-59018	none	none	no	-0.020	0.020	none	cell type	
E-GEOD-27513	none	none	no	-0.051	0.051	none	TRANSDUCER	
E-GEOD-67365	none	none	no	-0.044	0.044	none	treatment	
E-GEOD-78223	none	none	no	-0.033	0.033	none	None	
E-GEOD-78222	none	none	no	-0.031	0.031	none	None	
E-GEOD-49668	none	none	yes	0.001	0.001	none	INFECTION DOSE AND WK P.I. | SERUM VOLUME	
E-GEOD-36114	none	none	no	-0.051	0.051	none	ORGANISM | IMMUNOPRECIPITATE | CELL TYPE	
E-GEOD-73015	none	none	no	-0.058	0.058	none	cell type	
E-GEOD-28055	none	none	no	-0.075	0.075	none	TREATMENT | INFECTION	
E-GEOD-18204	none	none	no	-0.059	0.059	none	SAMPLE TYPE	
E-MEXP-2517	none	none	no	-0.048	0.048	none	CELL_LINE | DOSE | CellType | COMPOUND	
E-MEXP-50	none	none	no	-0.036	0.036	none	None	
E-GEOD-26359	none	none	no	-0.037	0.037	none	MEDIA | TREATMENT	
E-GEOD-65636	none	none	no	-0.027	0.027	none	stress | time min	
E-GEOD-37448	none	none	no	-0.018	0.018	none	PHENOTYPE MARKERS | EXCLUSION MARKERS | CELL TYPE	
E-GEOD-26600	none	none	no	-0.021	0.021	none	TIME | VARIATION | COMPOUND	
E-GEOD-52594	none	none	no	-0.057	0.057	none	ANIMAL NO | TREATMENT	
E-GEOD-52597	none	none	no	-0.048	0.048	none	None	
E-GEOD-33565	none	none	no	-0.054	0.054	none	treatment group | organism part	
E-GEOD-63282	none	none	no	-0.001	0.001	none	genotype | chip antibody	
E-GEOD-33561	none	none	no	-0.074	0.074	none	BATCH | COMPOUND	
E-GEOD-33560	none	none	no	-0.006	0.006	none	AGE | GENOTYPE	
E-GEOD-35970	none	none	no	-0.049	0.049	none	GENOTYPE	
E-GEOD-16661	none	none	no	-0.025	0.025	none	ENVIRONMENT	
E-GEOD-35979	none	none	no	-0.053	0.053	none	VARIATION	
E-MTAB-952	none	none	no	-0.027	0.027	none	CellularComponent	
E-GEOD-59672	none	none	no	-0.058	0.058	none	dose | genotype | compound	
E-GEOD-37990	none	none	no	-0.034	0.034	none	TRANSGENE | TREATMENT	
E-GEOD-37225	none	none	no	-0.027	0.027	none	CELL TYPE	
E-GEOD-37222	none	none	yes	0.007	0.007	none	None	
E-GEOD-67947	none	none	no	-0.009	0.009	none	cell line | organism	
E-GEOD-37996	none	none	no	-0.047	0.047	none	CELL SUBTYPE	
E-MTAB-4061	none	none	no	-0.004	0.004	none	organism part	
E-GEOD-52043	none	none	no	-0.028	0.028	none	CELL TYPE | ORGANISM PART	
E-GEOD-66016	none	none	no	-0.042	0.042	none	culture | infection	
E-GEOD-43476	none	none	no	-0.020	0.020	none	CELL TYPE | ORGANISM PART	
E-GEOD-12310	none	none	no	-0.062	0.062	none	None	
E-GEOD-52045	none	none	no	-0.030	0.030	none	CELL TYPE | ORGANISM PART	
E-GEOD-23800	none	none	no	-0.019	0.019	none	TISSUE | AGE | CEBPA/EYFP INDUCTION | GENOTYPE	
E-GEOD-33690	none	none	no	-0.007	0.007	none	STRAIN | CELL TYPE	
E-GEOD-33697	none	none	no	-0.057	0.057	none	None	
E-GEOD-33696	none	none	no	-0.081	0.081	none	PROTOCOL	
E-GEOD-16403	none	none	no	-0.022	0.022	none	STESTOSIS | INFLAMMATION	
E-GEOD-438	none	none	no	-0.018	0.018	none	None	
E-GEOD-43313	none	none	no	-0.042	0.042	none	None	
E-GEOD-63467	none	none	no	-0.032	0.032	none	strain	
E-GEOD-9630	none	none	no	-0.083	0.083	none	None	
E-GEOD-9189	none	none	no	-0.045	0.045	none	None	
E-GEOD-9188	none	none	no	-0.061	0.061	none	None	
E-GEOD-83700	none	none	no	-0.045	0.045	none	treatment	
E-GEOD-83701	none	none	yes	0.002	0.002	none	None	
E-GEOD-9184	none	none	no	-0.031	0.031	none	None	
E-GEOD-79248	none	none	no	-0.054	0.054	none	genotype	
E-GEOD-74598	none	none	no	-0.043	0.043	none	transfected with	
E-MEXP-856	none	none	no	-0.045	0.045	none	genotype	
E-GEOD-76999	none	none	no	-0.043	0.043	none	age | organism part	
E-GEOD-5245	none	none	no	-0.060	0.060	none	None	
E-GEOD-5242	none	none	no	-0.021	0.021	none	GENOTYPE	
E-GEOD-5241	none	none	no	-0.081	0.081	none	None	
E-GEOD-48073	none	none	no	-0.035	0.035	none	cell line	
E-GEOD-4114	none	none	no	-0.032	0.032	none	None	
E-GEOD-31123	none	none	no	-0.043	0.043	none	SORTING	
E-GEOD-9981	none	none	no	-0.025	0.025	none	None	
E-MEXP-3395	none	none	no	-0.055	0.055	none	DISEASE_STATE | DOSE | COMPOUND	
E-GEOD-34758	none	none	no	-0.008	0.008	none	TREATMENT | ORGANISM PART	
E-GEOD-39100	none	none	no	-0.061	0.061	none	STRESS | TIME	
E-GEOD-34755	none	none	no	-0.091	0.091	none	None	
E-GEOD-23088	none	none	no	-0.039	0.039	none	SAMPLE TYPE | GENOTYPE | TREATMENT	
E-GEOD-53312	none	none	no	-0.033	0.033	none	TREATMENT | CELL TYPE | ORGANISM PART | GENOTYPE	
E-GEOD-35597	none	none	no	-0.036	0.036	none	GROUP	
E-GEOD-62623	none	none	no	-0.040	0.040	none	treatment	
E-GEOD-62628	none	none	no	-0.041	0.041	none	group	
E-GEOD-1940	none	none	no	-0.096	0.096	none	Compound	
E-GEOD-31691	none	none	no	-0.030	0.030	none	CELL TYPE | STRAIN OR LINE | BIOSOURCEPROVIDER	
E-GEOD-67569	none	none	no	-0.005	0.005	none	genotype	
E-GEOD-31692	none	none	no	-0.019	0.019	none	VARIATION | TREATMENT | ORGANISM PART	
E-MEXP-1899	none	none	no	-0.068	0.068	none	disease | time	
E-GEOD-41121	none	none	no	-0.074	0.074	none	None	
E-GEOD-10962	none	none	no	-0.056	0.056	none	None	
E-GEOD-10964	none	none	yes	0.003	0.003	none	infect | time	
E-GEOD-56357	none	none	no	-0.020	0.020	none	None	
E-GEOD-53275	none	none	no	-0.039	0.039	none	CULTURE | CELL LINE	
E-GEOD-41620	none	none	no	-0.047	0.047	none	CELL TYPE | TREATMENT	
E-GEOD-82073	none	none	yes	0.001	0.001	none	experimental batch | genotype | sex	
E-GEOD-8584	none	none	no	-0.088	0.088	none	None	
E-GEOD-56358	none	none	no	-0.014	0.014	none	None	
E-GEOD-77374	none	none	no	-0.056	0.056	none	gentotype/variation	
E-MEXP-165	none	none	yes	0.002	0.002	none	Tissue type | Genotype	
E-GEOD-3764	none	none	no	-0.039	0.039	none	None	
E-GEOD-44906	none	none	no	-0.051	0.051	none	TREATMENT	
E-GEOD-36477	none	none	no	-0.047	0.047	none	GENOTYPE | TIME	
E-GEOD-56688	none	none	no	-0.046	0.046	none	TREATMENT | TIME	
E-GEOD-36472	none	none	no	-0.028	0.028	none	TISSUE TYPE	
E-GEOD-36473	none	none	no	-0.021	0.021	none	GENOTYPE | TUMOR TYPE	
E-GEOD-56684	none	none	no	-0.029	0.029	none	GENOTYPE	
E-GEOD-56687	none	none	no	-0.035	0.035	none	TREATMENT	
E-GEOD-15299	none	none	no	-0.036	0.036	none	TISSUE | ORGANISM	
E-GEOD-20282	none	none	no	-0.066	0.066	none	None	
E-GEOD-20684	none	none	no	-0.027	0.027	none	STIMULATED | GENOTYPE	
E-MEXP-704	none	none	no	-0.092	0.092	none	dose | phenotype | compound	
E-MEXP-703	none	none	no	-0.040	0.040	none	time | dose | genotype | compound	
E-MEXP-700	none	none	no	-0.044	0.044	none	dose | compound	
E-MEXP-701	none	none	no	-0.064	0.064	none	dose | compound	
E-GEOD-24296	none	none	no	-0.054	0.054	none	None	
E-GEOD-58288	none	none	yes	0.028	0.028	none	genotype	
E-GEOD-24292	none	none	no	-0.025	0.025	none	GENOTYPE/VARIATION	
E-GEOD-24291	none	none	no	-0.040	0.040	none	TIME POST-DOX | PROTOCOL | AGENT | TIME	
E-GEOD-45051	none	none	no	-0.045	0.045	none	AGE | TIME	
E-GEOD-34088	none	none	no	-0.053	0.053	none	None	
E-GEOD-9509	none	none	no	-0.070	0.070	none	None	
E-GEOD-57082	none	none	no	-0.054	0.054	none	doseunit | dose | vehicle | doseduration | compound	
E-GEOD-6084	none	none	no	-0.095	0.095	none	None	
E-GEOD-28037	none	none	no	-0.010	0.010	none	GENOTYPE/VARIATION	
E-GEOD-54261	none	none	no	-0.034	0.034	none	ISOFORM | LENTIVIRUS	
E-GEOD-55028	none	none	no	-0.007	0.007	none	TREATMENT	
E-GEOD-18784	none	none	no	-0.022	0.022	none	MODEL | TISSUE	
E-GEOD-18782	none	none	no	-0.047	0.047	none	EXPOSURE	
E-GEOD-85931	none	none	no	-0.003	0.003	none	treated with	
E-GEOD-60501	none	none	no	-0.042	0.042	none	cell subtype	
E-GEOD-66381	none	none	no	-0.002	0.002	none	genotype	
E-GEOD-66380	none	none	no	-0.004	0.004	none	genotype	
E-MTAB-2280	none	none	no	-0.047	0.047	none	phenotype	
E-GEOD-75522	none	none	no	-0.092	0.092	none	strain | cell type	
E-GEOD-84048	none	none	no	-0.070	0.070	none	tumour component | resected at | sensitivity to sunitinib up to day 8 | treatment	
E-GEOD-64715	none	none	no	-0.030	0.030	none	None	
E-GEOD-64718	none	none	yes	0.006	0.006	none	diet | time	
E-GEOD-84513	none	none	no	-0.093	0.093	none	expression status	
E-GEOD-57355	none	none	no	-0.048	0.048	none	NK DEPLETION | GENOTYPE | TREATMENT	
E-GEOD-54197	none	none	no	-0.041	0.041	none	GENOTYPE	
E-GEOD-12147	none	none	no	-0.053	0.053	none	None	
E-GEOD-18163	none	none	no	-0.060	0.060	none	TREATMENT | GENOTYPE | TIME	
E-GEOD-73466	none	none	no	-0.020	0.020	none	organism part	
E-GEOD-73467	none	none	no	-0.035	0.035	none	rna fraction | cell type	
E-GEOD-552	none	none	no	-0.079	0.079	none	None	
E-GEOD-554	none	none	no	-0.079	0.079	none	CellLine	
E-GEOD-555	none	none	no	-0.071	0.071	none	CellLine	
E-MTAB-2065	none	none	no	-0.026	0.026	none	metastasis growth phase | xenograft | organism | metastatic site	
E-GEOD-558	none	none	no	-0.017	0.017	none	genotype	
E-GEOD-11178	none	none	no	-0.063	0.063	none	None	
E-GEOD-70046	none	none	no	-0.023	0.023	none	genotype | organism part	
E-GEOD-34961	none	none	no	-0.028	0.028	none	genotype	
E-GEOD-72757	none	none	yes	0.014	0.014	none	cell type	
E-GEOD-21560	none	none	no	-0.061	0.061	none	None	
E-GEOD-59464	none	none	yes	0.021	0.021	none	genotype	
E-GEOD-21568	none	none	no	-0.019	0.019	none	None	
E-GEOD-53796	none	none	no	-0.061	0.061	none	GENOTYPE	
E-GEOD-32574	none	none	no	-0.057	0.057	none	VARIATION | COMPOUND	
E-GEOD-26290	none	none	no	-0.033	0.033	none	GENOTYPE/VARIATION | AGENT	
E-GEOD-62012	none	none	no	-0.088	0.088	none	cell type | genotype	
E-GEOD-38126	none	none	no	-0.031	0.031	none	DEVELOPMENTAL STAGE | SEX	
E-GEOD-62016	none	none	no	-0.034	0.034	none	TUMOR MODEL | ORGANISM PART	
E-GEOD-17431	none	none	no	-0.014	0.014	none	AGENT | TIME	
E-GEOD-54853	none	none	no	-0.018	0.018	none	STRAIN | ORGANISM | DEVELOPMENTAL STAGE | COMPOUND	
E-GEOD-34423	none	none	no	-0.075	0.075	none	DONOR ID | TREATMENT | ORGANISM PART	
E-GEOD-1776	none	none	no	-0.132	0.132	none	growth condition	
E-MTAB-4938	none	none	no	-0.027	0.027	none	genotype	
E-MTAB-4936	none	none	no	-0.031	0.031	none	compound	
E-GEOD-71319	none	none	no	-0.024	0.024	none	prostate lobe | cell population	
E-GEOD-47375	none	none	no	-0.013	0.013	none	genotype	
E-GEOD-46357	none	none	no	-0.020	0.020	none	CELL TYPE | DEVELOPMENTAL STAGE	
E-GEOD-46421	none	none	no	-0.059	0.059	none	TREATMENT | TIME	
E-GEOD-17699	none	none	no	-0.058	0.058	none	AGENT	
E-GEOD-33348	none	none	no	-0.064	0.064	none	CELL LINE | TRANSDUCER	
E-GEOD-76839	none	none	no	-0.033	0.033	none	None	
E-MEXP-2701	none	none	no	-0.043	0.043	none	DOSE | COMPOUND	
E-GEOD-20726	none	none	no	-0.051	0.051	none	None	
E-GEOD-64489	none	none	no	-0.022	0.022	none	strain | shRNA | antibody | cell type	
E-GEOD-30102	none	none	no	-0.056	0.056	none	CELL TYPE	
